Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-12,3.8,9.2,16289,549,306,39,13,1.9,11465|11535|11816|12628|12822|12826|12827|13617|13819|13874|14173|14283|14609|15251|15368|16402|16410|16523|16775|16948|16971|17390|18159|18595|18596|19225|20296|20319|20698|21803|21812|21814|21928|23892|57875|58859|68545|94352|109624,Actg1|Adm|Apoe|Cfh|Col18a1|Col4a1|Col4a2|Ednra|Epas1|Ereg|Fgf2|Fosl1|Gja1|Hif1a|Hmox1|Itga5|Itgav|Kcnj8|Lama4|Lox|Lrp1|Mmp2|Nppc|Pdgfra|Pdgfrb|Ptgs2|Ccl2|Sfrp2|Sphk1|Tgfb1|Tgfbr1|Tgfbr3|Tnfaip2|Grem1|Angptl4|Efemp2|Ecscr|Loxl2|Cald1,-9.6,S1_UP
GO Biological Processes,19,GO:0045229,external encapsulating structure organization,19_GO:0009987 cellular process,-12,5.4,10,16289,264,306,27,8.8,1.6,12822|12826|12827|14758|16777|16948|17384|17386|17387|17390|17392|18073|18595|19288|20319|21803|21812|23892|52076|58859|77794|78892|94352|100952|226519|240725|268396,Col18a1|Col4a1|Col4a2|Gpm6b|Lamb1|Lox|Mmp10|Mmp13|Mmp14|Mmp2|Mmp3|Nid1|Pdgfra|Ptx3|Sfrp2|Tgfb1|Tgfbr1|Grem1|Tmem38b|Efemp2|Adamtsl2|Crispld2|Loxl2|Emilin1|Lamc1|Sulf1|Sh3pxd2b,-9.6,S1_UP
GO Biological Processes,19,GO:0030198,extracellular matrix organization,19_GO:0009987 cellular process,-12,5.4,10,16289,264,306,27,8.8,1.6,12822|12826|12827|14758|16777|16948|17384|17386|17387|17390|17392|18073|18595|19288|20319|21803|21812|23892|52076|58859|77794|78892|94352|100952|226519|240725|268396,Col18a1|Col4a1|Col4a2|Gpm6b|Lamb1|Lox|Mmp10|Mmp13|Mmp14|Mmp2|Mmp3|Nid1|Pdgfra|Ptx3|Sfrp2|Tgfb1|Tgfbr1|Grem1|Tmem38b|Efemp2|Adamtsl2|Crispld2|Loxl2|Emilin1|Lamc1|Sulf1|Sh3pxd2b,-9.6,S1_UP
GO Biological Processes,19,GO:0043062,extracellular structure organization,19_GO:0009987 cellular process,-12,5.4,10,16289,265,306,27,8.8,1.6,12822|12826|12827|14758|16777|16948|17384|17386|17387|17390|17392|18073|18595|19288|20319|21803|21812|23892|52076|58859|77794|78892|94352|100952|226519|240725|268396,Col18a1|Col4a1|Col4a2|Gpm6b|Lamb1|Lox|Mmp10|Mmp13|Mmp14|Mmp2|Mmp3|Nid1|Pdgfra|Ptx3|Sfrp2|Tgfb1|Tgfbr1|Grem1|Tmem38b|Efemp2|Adamtsl2|Crispld2|Loxl2|Emilin1|Lamc1|Sulf1|Sh3pxd2b,-9.6,S1_UP
GO Biological Processes,19,GO:1901342,regulation of vasculature development,19_GO:0032502 developmental process,-12,5,9.6,16289,298,306,28,9.2,1.6,11535|12266|12827|13036|14173|15234|15251|15277|15368|15945|16402|16878|18024|18746|20292|20296|20319|20698|20846|21803|21812|21937|23871|23892|66214|68545|100952|240725,Adm|C3|Col4a2|Ctsh|Fgf2|Hgf|Hif1a|Hk2|Hmox1|Cxcl10|Itga5|Lif|Nfe2l2|Pkm|Ccl11|Ccl2|Sfrp2|Sphk1|Stat1|Tgfb1|Tgfbr1|Tnfrsf1a|Ets1|Grem1|Rgcc|Ecscr|Emilin1|Sulf1,-9.2,S1_UP
GO Biological Processes,19,GO:0048732,gland development,19_GO:0032502 developmental process,-12,4.4,9.3,16289,391,306,32,10,1.7,12608|13123|13617|13649|14173|14178|14609|15234|15251|15368|15439|16011|16193|16828|16911|17390|18033|18102|18595|18596|18746|18793|20292|20377|20656|20720|21803|21812|21814|21943|22436|26941,Cebpb|Cyp7b1|Ednra|Egfr|Fgf2|Fgf7|Gja1|Hgf|Hif1a|Hmox1|Hp|Igfbp5|Il6|Ldha|Lmo4|Mmp2|Nfkb1|Nme1|Pdgfra|Pdgfrb|Pkm|Plaur|Ccl11|Sfrp1|Sod2|Serpine2|Tgfb1|Tgfbr1|Tgfbr3|Tnfsf11|Xdh|Nherf1,-9.1,S1_UP
GO Biological Processes,19,GO:0071216,cellular response to biotic stimulus,19_GO:0050896 response to stimulus,-11,5.8,9.9,16289,220,306,24,7.8,1.5,12010|12608|12628|14469|14528|14825|15945|16193|17087|17329|18033|18035|18036|18578|20296|20310|20311|20846|21929|22038|55985|57783|66102|229898,B2m|Cebpb|Cfh|Gbp2|Gch1|Cxcl1|Cxcl10|Il6|Ly96|Cxcl9|Nfkb1|Nfkbia|Nfkbib|Pde4b|Ccl2|Cxcl2|Cxcl5|Stat1|Tnfaip3|Plscr1|Cxcl13|Tnip1|Cxcl16|Gbp5,-9,S1_UP
KEGG Pathway,24,mmu04668,TNF signaling pathway - Mus musculus (house mouse),,-11,8.2,11,16289,117,306,18,5.9,1.3,11796|12608|14825|15945|15953|16193|16878|17387|17392|18033|18035|19225|20296|20310|20311|21929|21937|22329,Birc3|Cebpb|Cxcl1|Cxcl10|Ifi47|Il6|Lif|Mmp14|Mmp3|Nfkb1|Nfkbia|Ptgs2|Ccl2|Cxcl2|Cxcl5|Tnfaip3|Tnfrsf1a|Vcam1,-8.8,S1_UP
GO Biological Processes,19,GO:0001525,angiogenesis,19_GO:0032502 developmental process,-11,4.5,8.9,16289,330,306,28,9.2,1.6,11465|12628|12822|12826|12827|13617|13819|13874|14173|15251|15368|16402|16410|17390|18159|18595|18596|19225|20296|20319|21803|21812|21928|23892|57875|68545|94352|109624,Actg1|Cfh|Col18a1|Col4a1|Col4a2|Ednra|Epas1|Ereg|Fgf2|Hif1a|Hmox1|Itga5|Itgav|Mmp2|Nppc|Pdgfra|Pdgfrb|Ptgs2|Ccl2|Sfrp2|Tgfb1|Tgfbr1|Tnfaip2|Grem1|Angptl4|Ecscr|Loxl2|Cald1,-8.2,S1_UP
GO Biological Processes,19,GO:0071396,cellular response to lipid,19_GO:0050896 response to stimulus,-11,4,8.6,16289,429,306,32,10,1.7,11928|12010|12608|12623|12628|13123|13649|14469|14528|14825|15945|16193|17087|17329|17390|18033|18035|18036|18578|20296|20310|20311|20846|21803|21929|22038|55985|57783|66102|74747|229898|234564,Atp1a1|B2m|Cebpb|Ces1g|Cfh|Cyp7b1|Egfr|Gbp2|Gch1|Cxcl1|Cxcl10|Il6|Ly96|Cxcl9|Mmp2|Nfkb1|Nfkbia|Nfkbib|Pde4b|Ccl2|Cxcl2|Cxcl5|Stat1|Tgfb1|Tnfaip3|Plscr1|Cxcl13|Tnip1|Cxcl16|Ddit4|Gbp5|Ces1f,-8.2,S1_UP
GO Biological Processes,19,GO:0006959,humoral immune response,19_GO:0002376 immune system process,-10,6.1,9.6,16289,184,306,21,6.9,1.4,11535|12010|12266|12268|12628|14433|14825|14962|15945|17329|20292|20296|20306|20307|20310|20311|22041|50909|55985|57266|66214,Adm|B2m|C3|C4b|Cfh|Gapdh|Cxcl1|Cfb|Cxcl10|Cxcl9|Ccl11|Ccl2|Ccl7|Ccl8|Cxcl2|Cxcl5|Trf|C1ra|Cxcl13|Cxcl14|Rgcc,-8.1,S1_UP
GO Biological Processes,19,GO:0045765,regulation of angiogenesis,19_GO:0032502 developmental process,-10,4.8,8.9,16289,291,306,26,8.5,1.6,11535|12266|12827|13036|14173|15234|15251|15277|15368|15945|16402|16878|18024|18746|20292|20296|20319|20698|20846|21937|23871|23892|66214|68545|100952|240725,Adm|C3|Col4a2|Ctsh|Fgf2|Hgf|Hif1a|Hk2|Hmox1|Cxcl10|Itga5|Lif|Nfe2l2|Pkm|Ccl11|Ccl2|Sfrp2|Sphk1|Stat1|Tnfrsf1a|Ets1|Grem1|Rgcc|Ecscr|Emilin1|Sulf1,-8.1,S1_UP
GO Biological Processes,19,GO:1904018,positive regulation of vasculature development,19_GO:0032502 developmental process,-10,6.2,9.5,16289,172,306,20,6.5,1.4,11535|12266|13036|14173|15234|15251|15277|15368|16402|18024|18746|20292|20319|20698|21803|21812|21937|23871|23892|100952,Adm|C3|Ctsh|Fgf2|Hgf|Hif1a|Hk2|Hmox1|Itga5|Nfe2l2|Pkm|Ccl11|Sfrp2|Sphk1|Tgfb1|Tgfbr1|Tnfrsf1a|Ets1|Grem1|Emilin1,-7.9,S1_UP
GO Biological Processes,19,GO:1903053,regulation of extracellular matrix organization,19_GO:0050789 regulation of biological process,-9.7,11,11,16289,65,306,13,4.2,1.2,14726|16193|16777|18073|21803|21812|21814|21937|23871|58859|66214|100952|226519,Pdpn|Il6|Lamb1|Nid1|Tgfb1|Tgfbr1|Tgfbr3|Tnfrsf1a|Ets1|Efemp2|Rgcc|Emilin1|Lamc1,-7.6,S1_UP
GO Biological Processes,19,GO:0050729,positive regulation of inflammatory response,19_GO:0048518 positive regulation of biological process,-9.7,6.7,9.5,16289,143,306,18,5.9,1.3,12266|12608|13032|14469|16193|17082|18035|19225|20201|21803|21937|21943|22320|23871|57783|58203|229898|242202,C3|Cebpb|Ctsc|Gbp2|Il6|Il1rl1|Nfkbia|Ptgs2|S100a8|Tgfb1|Tnfrsf1a|Tnfsf11|Vamp8|Ets1|Tnip1|Zbp1|Gbp5|Pde5a,-7.6,S1_UP
GO Biological Processes,19,GO:0006979,response to oxidative stress,19_GO:0050896 response to stimulus,-9.7,4.3,8.4,16289,335,306,27,8.8,1.6,11815|11816|11938|13617|13649|13819|15251|15368|16193|16819|17390|17392|17751|18024|18033|18227|18595|18596|19173|19225|20656|20657|20698|21929|22166|54683|226646,Apod|Apoe|Atp2a2|Ednra|Egfr|Epas1|Hif1a|Hmox1|Il6|Lcn2|Mmp2|Mmp3|Mt3|Nfe2l2|Nfkb1|Nr4a2|Pdgfra|Pdgfrb|Psmb5|Ptgs2|Sod2|Sod3|Sphk1|Tnfaip3|Txn1|Prdx5|Ndufs2,-7.5,S1_UP
GO Biological Processes,19,GO:0000302,response to reactive oxygen species,19_GO:0050896 response to stimulus,-9.6,6.2,9.2,16289,164,306,19,6.2,1.4,11815|13617|13649|15251|15368|16193|16819|17390|17392|17751|18024|18595|18596|20656|20657|20698|21929|22166|54683,Apod|Ednra|Egfr|Hif1a|Hmox1|Il6|Lcn2|Mmp2|Mmp3|Mt3|Nfe2l2|Pdgfra|Pdgfrb|Sod2|Sod3|Sphk1|Tnfaip3|Txn1|Prdx5,-7.5,S1_UP
GO Biological Processes,19,GO:0009725,response to hormone,19_GO:0050896 response to stimulus,-9.5,3.2,7.8,16289,609,306,37,12,1.9,11647|11928|11938|13123|13617|15368|16181|16193|16418|16523|16948|17386|17387|17390|17751|18024|18033|18227|18491|18746|18984|19246|19255|20377|20715|20716|20717|20846|21803|21812|21814|21857|21859|22234|74747|213053|238393,Alpl|Atp1a1|Atp2a2|Cyp7b1|Ednra|Hmox1|Il1rn|Il6|Eif6|Kcnj8|Lox|Mmp13|Mmp14|Mmp2|Mt3|Nfe2l2|Nfkb1|Nr4a2|Pappa|Pkm|Por|Ptpn1|Ptpn2|Sfrp1|Serpina3g|Serpina3n|Serpina3m|Stat1|Tgfb1|Tgfbr1|Tgfbr3|Timp1|Timp3|Ugcg|Ddit4|Slc39a14|Serpina3f,-7.4,S1_UP
KEGG Pathway,24,mmu05200,Pathways in cancer - Mus musculus (house mouse),,-9.4,3.5,7.9,16289,500,306,33,11,1.8,11796|12061|12826|12827|13617|13649|13819|14173|14178|14362|14701|15234|15251|15368|16164|16169|16193|16195|16410|16775|16777|17390|18024|18033|18035|18595|18596|19225|20846|21803|21812|23871|226519,Birc3|Bdkrb1|Col4a1|Col4a2|Ednra|Egfr|Epas1|Fgf2|Fgf7|Fzd1|Gng12|Hgf|Hif1a|Hmox1|Il13ra1|Il15ra|Il6|Il6st|Itgav|Lama4|Lamb1|Mmp2|Nfe2l2|Nfkb1|Nfkbia|Pdgfra|Pdgfrb|Ptgs2|Stat1|Tgfb1|Tgfbr1|Ets1|Lamc1,-7.3,S1_UP
GO Biological Processes,19,GO:0031349,positive regulation of defense response,19_GO:0048518 positive regulation of biological process,-9.4,3.8,8.1,16289,420,306,30,9.8,1.7,12266|12608|13032|13874|14283|14469|14609|14825|16193|16523|17082|17087|17164|18035|19225|20201|21803|21937|21943|22038|22320|23871|57783|58203|65221|100952|170737|211550|229898|242202,C3|Cebpb|Ctsc|Ereg|Fosl1|Gbp2|Gja1|Cxcl1|Il6|Kcnj8|Il1rl1|Ly96|Mapkapk2|Nfkbia|Ptgs2|S100a8|Tgfb1|Tnfrsf1a|Tnfsf11|Plscr1|Vamp8|Ets1|Tnip1|Zbp1|Slc15a3|Emilin1|Znrf1|Tifa|Gbp5|Pde5a,-7.3,S1_UP
GO Biological Processes,19,GO:0030595,leukocyte chemotaxis,19_GO:0040011 locomotion,-9.4,6.9,9.4,16289,131,306,17,5.6,1.3,13123|13479|14825|15945|17329|17390|18578|20201|20292|20296|20306|20307|20310|20311|21943|55985|66102,Cyp7b1|Dpep1|Cxcl1|Cxcl10|Cxcl9|Mmp2|Pde4b|S100a8|Ccl11|Ccl2|Ccl7|Ccl8|Cxcl2|Cxcl5|Tnfsf11|Cxcl13|Cxcl16,-7.3,S1_UP
GO Biological Processes,19,GO:0034341,response to type II interferon,19_GO:0044419 biological process involved in interspecies interaction between organisms,-9.4,7.5,9.6,16289,114,306,16,5.2,1.3,11465|14433|14469|14528|14961|15018|17472|19332|20296|20846|22320|66102|66141|68713|80876|229898,Actg1|Gapdh|Gbp2|Gch1|H2-Ab1|H2-Q7|Gbp4|Rab20|Ccl2|Stat1|Vamp8|Cxcl16|Ifitm3|Ifitm1|Ifitm2|Gbp5,-7.3,S1_UP
KEGG Pathway,24,mmu04061,Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse),,-9.2,8.8,9.9,16289,85,306,14,4.6,1.2,14825|15945|16193|16195|17329|20292|20296|20306|20307|20310|20311|21937|55985|57266,Cxcl1|Cxcl10|Il6|Il6st|Cxcl9|Ccl11|Ccl2|Ccl7|Ccl8|Cxcl2|Cxcl5|Tnfrsf1a|Cxcl13|Cxcl14,-7.2,S1_UP
WikiPathways,27,WP5242,Comprehensive IL 17A signaling,,-9.2,7.9,9.6,16289,101,306,15,4.9,1.2,12266|13649|14701|14825|16193|17387|17392|18793|19225|20310|20311|20656|20846|21803|56378,C3|Egfr|Gng12|Cxcl1|Il6|Mmp14|Mmp3|Plaur|Ptgs2|Cxcl2|Cxcl5|Sod2|Stat1|Tgfb1|Arpc3,-7.1,S1_UP
GO Biological Processes,19,GO:0071621,granulocyte chemotaxis,19_GO:0040011 locomotion,-9.1,9.5,10,16289,73,306,13,4.2,1.2,13479|14825|15945|17329|18578|20201|20292|20296|20306|20307|20310|20311|55985,Dpep1|Cxcl1|Cxcl10|Cxcl9|Pde4b|S100a8|Ccl11|Ccl2|Ccl7|Ccl8|Cxcl2|Cxcl5|Cxcl13,-7,S1_UP
Reactome Gene Sets,6,R-MMU-1592389,Activation of Matrix Metalloproteinases,,-9,18,12,16289,27,306,9,2.9,0.97,12822|13038|13039|17384|17386|17387|17390|17392|21857,Col18a1|Ctsk|Ctsl|Mmp10|Mmp13|Mmp14|Mmp2|Mmp3|Timp1,-7,S1_UP
GO Biological Processes,19,GO:0050727,regulation of inflammatory response,19_GO:0050896 response to stimulus,-9,4,8,16289,358,306,27,8.8,1.6,11816|12266|12608|13032|14469|15234|15937|16177|16193|17082|18033|18035|19225|19255|20201|20698|21803|21929|21937|21943|22320|23871|57783|58203|64292|229898|242202,Apoe|C3|Cebpb|Ctsc|Gbp2|Hgf|Ier3|Il1r1|Il6|Il1rl1|Nfkb1|Nfkbia|Ptgs2|Ptpn2|S100a8|Sphk1|Tgfb1|Tnfaip3|Tnfrsf1a|Tnfsf11|Vamp8|Ets1|Tnip1|Zbp1|Ptges|Gbp5|Pde5a,-7,S1_UP
GO Biological Processes,19,GO:0034614,cellular response to reactive oxygen species,19_GO:0050896 response to stimulus,-9,7,9.2,16289,122,306,16,5.2,1.3,13617|13649|16193|16819|17390|17392|17751|18024|18595|18596|20656|20657|20698|21929|22166|54683,Ednra|Egfr|Il6|Lcn2|Mmp2|Mmp3|Mt3|Nfe2l2|Pdgfra|Pdgfrb|Sod2|Sod3|Sphk1|Tnfaip3|Txn1|Prdx5,-6.9,S1_UP
GO Biological Processes,19,GO:0001906,cell killing,19_GO:0009987 cellular process,-8.8,6.9,9.1,16289,124,306,16,5.2,1.3,12010|12266|13032|13036|14433|14469|14964|14972|15040|15945|17329|20292|20307|55985|57266|229898,B2m|C3|Ctsc|Ctsh|Gapdh|Gbp2|H2-D1|H2-K1|H2-T23|Cxcl10|Cxcl9|Ccl11|Ccl8|Cxcl13|Cxcl14|Gbp5,-6.9,S1_UP
KEGG Pathway,24,mmu05167,Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse),,-8.7,5.5,8.5,16289,185,306,19,6.2,1.4,12266|14173|14701|14825|14964|14972|15018|15040|15251|16193|16195|17164|18033|18035|19225|20310|20846|21937|110557,C3|Fgf2|Gng12|Cxcl1|H2-D1|H2-K1|H2-Q7|H2-T23|Hif1a|Il6|Il6st|Mapkapk2|Nfkb1|Nfkbia|Ptgs2|Cxcl2|Stat1|Tnfrsf1a|H2-Q6,-6.7,S1_UP
GO Biological Processes,19,GO:0045766,positive regulation of angiogenesis,19_GO:0032502 developmental process,-8.5,5.7,8.4,16289,169,306,18,5.9,1.3,11535|12266|13036|14173|15234|15251|15277|15368|16402|18024|18746|20292|20319|20698|21937|23871|23892|100952,Adm|C3|Ctsh|Fgf2|Hgf|Hif1a|Hk2|Hmox1|Itga5|Nfe2l2|Pkm|Ccl11|Sfrp2|Sphk1|Tnfrsf1a|Ets1|Grem1|Emilin1,-6.6,S1_UP
GO Biological Processes,19,GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,19_GO:0044419 biological process involved in interspecies interaction between organisms,-8.5,7.7,9.1,16289,97,306,14,4.6,1.2,11535|12010|14433|14825|15945|17329|20292|20296|20306|20307|20310|20311|55985|57266,Adm|B2m|Gapdh|Cxcl1|Cxcl10|Cxcl9|Ccl11|Ccl2|Ccl7|Ccl8|Cxcl2|Cxcl5|Cxcl13|Cxcl14,-6.5,S1_UP
GO Biological Processes,19,GO:0048729,tissue morphogenesis,19_GO:0032502 developmental process,-8.4,3.1,7.2,16289,581,306,34,11,1.8,11465|11535|12826|13036|13039|13123|13617|13649|14173|14178|14313|14362|14609|14726|15251|16011|16193|16911|17313|17387|17390|20292|20319|20377|20971|21803|21812|21814|23892|26941|58859|98711|211323|226519,Actg1|Adm|Col4a1|Ctsh|Ctsl|Cyp7b1|Ednra|Egfr|Fgf2|Fgf7|Fst|Fzd1|Gja1|Pdpn|Hif1a|Igfbp5|Il6|Lmo4|Mgp|Mmp14|Mmp2|Ccl11|Sfrp2|Sfrp1|Sdc4|Tgfb1|Tgfbr1|Tgfbr3|Grem1|Nherf1|Efemp2|Rdh10|Nrg1|Lamc1,-6.4,S1_UP
KEGG Pathway,24,mmu05418,Fluid shear stress and atherosclerosis - Mus musculus (house mouse),,-8.3,6.3,8.5,16289,136,306,16,5.2,1.3,11465|13039|15368|16177|16178|16410|17390|18024|18033|18159|20296|20969|20971|21937|22166|22329,Actg1|Ctsl|Hmox1|Il1r1|Il1r2|Itgav|Mmp2|Nfe2l2|Nfkb1|Nppc|Ccl2|Sdc1|Sdc4|Tnfrsf1a|Txn1|Vcam1,-6.4,S1_UP
KEGG Pathway,24,mmu04612,Antigen processing and presentation - Mus musculus (house mouse),,-8.2,9.1,9.4,16289,70,306,12,3.9,1.1,12010|13030|13039|14961|14964|14972|15018|15040|19141|19186|21354|110557,B2m|Ctsb|Ctsl|H2-Ab1|H2-D1|H2-K1|H2-Q7|H2-T23|Lgmn|Psme1|Tap1|H2-Q6,-6.3,S1_UP
GO Biological Processes,19,GO:2000377,regulation of reactive oxygen species metabolic process,19_GO:0008152 metabolic process,-8.1,5.7,8.2,16289,159,306,17,5.6,1.3,11796|11847|13649|14528|14825|15251|15277|15937|16418|16819|17392|17751|18024|18596|20656|21803|22436,Birc3|Arg2|Egfr|Gch1|Cxcl1|Hif1a|Hk2|Ier3|Eif6|Lcn2|Mmp3|Mt3|Nfe2l2|Pdgfrb|Sod2|Tgfb1|Xdh,-6.2,S1_UP
GO Biological Processes,19,GO:0019730,antimicrobial humoral response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-8.1,6.6,8.6,16289,121,306,15,4.9,1.2,11535|12010|14433|14825|15945|17329|20292|20296|20306|20307|20310|20311|22041|55985|57266,Adm|B2m|Gapdh|Cxcl1|Cxcl10|Cxcl9|Ccl11|Ccl2|Ccl7|Ccl8|Cxcl2|Cxcl5|Trf|Cxcl13|Cxcl14,-6.2,S1_UP
GO Biological Processes,19,GO:0002009,morphogenesis of an epithelium,19_GO:0032502 developmental process,-8,3.3,7.1,16289,482,306,30,9.8,1.7,11465|11535|12826|13036|13039|13123|13617|13649|14173|14178|14313|14362|14609|14726|15251|16011|16193|16911|17313|17387|17390|20292|20319|20377|20971|21803|23892|26941|98711|226519,Actg1|Adm|Col4a1|Ctsh|Ctsl|Cyp7b1|Ednra|Egfr|Fgf2|Fgf7|Fst|Fzd1|Gja1|Pdpn|Hif1a|Igfbp5|Il6|Lmo4|Mgp|Mmp14|Mmp2|Ccl11|Sfrp2|Sfrp1|Sdc4|Tgfb1|Grem1|Nherf1|Rdh10|Lamc1,-6.2,S1_UP
KEGG Pathway,24,mmu05166,Human T-cell leukemia virus 1 infection - Mus musculus (house mouse),,-8,4.7,7.8,16289,226,306,20,6.5,1.4,11740|12010|14283|14961|14964|14972|15018|15040|16169|16177|16178|16193|18033|18035|21803|21812|21937|23871|23872|110557,Slc25a5|B2m|Fosl1|H2-Ab1|H2-D1|H2-K1|H2-Q7|H2-T23|Il15ra|Il1r1|Il1r2|Il6|Nfkb1|Nfkbia|Tgfb1|Tgfbr1|Tnfrsf1a|Ets1|Ets2|H2-Q6,-6.2,S1_UP
GO Biological Processes,19,GO:0034599,cellular response to oxidative stress,19_GO:0050896 response to stimulus,-8,5,7.9,16289,204,306,19,6.2,1.4,11938|13617|13649|15251|16193|16819|17390|17392|17751|18024|18227|18595|18596|20656|20657|20698|21929|22166|54683,Atp2a2|Ednra|Egfr|Hif1a|Il6|Lcn2|Mmp2|Mmp3|Mt3|Nfe2l2|Nr4a2|Pdgfra|Pdgfrb|Sod2|Sod3|Sphk1|Tnfaip3|Txn1|Prdx5,-6.1,S1_UP
GO Biological Processes,19,GO:0045087,innate immune response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-7.9,2.9,6.9,16289,634,306,35,11,1.8,11465|11847|12010|12266|12628|14433|14469|14528|14961|14962|15018|15953|16819|17087|17392|17472|18033|18807|19288|19332|20201|20296|20846|22320|50909|58203|60440|65221|66102|66141|68713|80876|211550|218442|229898,Actg1|Arg2|B2m|C3|Cfh|Gapdh|Gbp2|Gch1|H2-Ab1|Cfb|H2-Q7|Ifi47|Lcn2|Ly96|Mmp3|Gbp4|Nfkb1|Pld3|Ptx3|Rab20|S100a8|Ccl2|Stat1|Vamp8|C1ra|Zbp1|Iigp1|Slc15a3|Cxcl16|Ifitm3|Ifitm1|Ifitm2|Tifa|Serinc5|Gbp5,-6.1,S1_UP
GO Biological Processes,19,GO:0097530,granulocyte migration,19_GO:0002376 immune system process,-7.9,7.7,8.8,16289,90,306,13,4.2,1.2,13479|14825|15945|17329|18578|20201|20292|20296|20306|20307|20310|20311|55985,Dpep1|Cxcl1|Cxcl10|Cxcl9|Pde4b|S100a8|Ccl11|Ccl2|Ccl7|Ccl8|Cxcl2|Cxcl5|Cxcl13,-6.1,S1_UP
Reactome Gene Sets,6,R-MMU-1442490,Collagen degradation,,-7.9,11,9.8,16289,47,306,10,3.3,1,12822|12826|12827|13030|13038|17384|17386|17387|17390|17392,Col18a1|Col4a1|Col4a2|Ctsb|Ctsk|Mmp10|Mmp13|Mmp14|Mmp2|Mmp3,-6.1,S1_UP
GO Biological Processes,19,GO:0098771,inorganic ion homeostasis,19_GO:0042592 homeostatic process,-7.9,3.5,7.2,16289,406,306,27,8.8,1.6,11647|11816|11928|11938|12010|12870|13617|13819|14319|15251|15368|17748|17750|17751|18159|20296|20307|20656|21803|21943|22041|26941|66383|66815|71145|117167|213053,Alpl|Apoe|Atp1a1|Atp2a2|B2m|Cp|Ednra|Epas1|Fth1|Hif1a|Hmox1|Mt1|Mt2|Mt3|Nppc|Ccl2|Ccl8|Sod2|Tgfb1|Tnfsf11|Trf|Nherf1|Iscu|Mcub|Scara5|Steap4|Slc39a14,-6.1,S1_UP
GO Biological Processes,19,GO:0040013,negative regulation of locomotion,19_GO:0040011 locomotion,-7.8,3.9,7.3,16289,328,306,24,7.8,1.5,11815|11816|12512|13479|14173|16011|16181|16971|18024|19255|20319|20377|21803|21812|21814|21857|23892|26941|55985|66214|68713|100952|211323|240725,Apod|Apoe|Cd63|Dpep1|Fgf2|Igfbp5|Il1rn|Lrp1|Nfe2l2|Ptpn2|Sfrp2|Sfrp1|Tgfb1|Tgfbr1|Tgfbr3|Timp1|Grem1|Nherf1|Cxcl13|Rgcc|Ifitm1|Emilin1|Nrg1|Sulf1,-6,S1_UP
GO Biological Processes,19,GO:0030336,negative regulation of cell migration,19_GO:0040011 locomotion,-7.8,4,7.4,16289,303,306,23,7.5,1.5,11815|11816|12512|13479|14173|16011|16181|16971|18024|20319|20377|21803|21812|21814|21857|23892|26941|55985|66214|68713|100952|211323|240725,Apod|Apoe|Cd63|Dpep1|Fgf2|Igfbp5|Il1rn|Lrp1|Nfe2l2|Sfrp2|Sfrp1|Tgfb1|Tgfbr1|Tgfbr3|Timp1|Grem1|Nherf1|Cxcl13|Rgcc|Ifitm1|Emilin1|Nrg1|Sulf1,-6,S1_UP
GO Biological Processes,19,GO:0062197,cellular response to chemical stress,19_GO:0050896 response to stimulus,-7.8,4.4,7.5,16289,255,306,21,6.9,1.4,11928|11938|13617|13649|15251|16193|16819|17390|17392|17751|18024|18227|18595|18596|19225|20656|20657|20698|21929|22166|54683,Atp1a1|Atp2a2|Ednra|Egfr|Hif1a|Il6|Lcn2|Mmp2|Mmp3|Mt3|Nfe2l2|Nr4a2|Pdgfra|Pdgfrb|Ptgs2|Sod2|Sod3|Sphk1|Tnfaip3|Txn1|Prdx5,-6,S1_UP
GO Biological Processes,19,GO:0097529,myeloid leukocyte migration,19_GO:0002376 immune system process,-7.8,6.3,8.3,16289,127,306,15,4.9,1.2,13479|14825|15945|17329|17390|18578|20201|20292|20296|20306|20307|20310|20311|21943|55985,Dpep1|Cxcl1|Cxcl10|Cxcl9|Mmp2|Pde4b|S100a8|Ccl11|Ccl2|Ccl7|Ccl8|Cxcl2|Cxcl5|Tnfsf11|Cxcl13,-6,S1_UP
GO Biological Processes,19,GO:2001233,regulation of apoptotic signaling pathway,19_GO:0050896 response to stimulus,-7.8,3.5,7.1,16289,410,306,27,8.8,1.6,11740|13032|13036|13038|13039|14362|15234|15251|15368|15937|16410|17390|18024|18227|18793|19225|19246|19255|20201|20319|20377|20656|21812|21929|22038|26941|211323,Slc25a5|Ctsc|Ctsh|Ctsk|Ctsl|Fzd1|Hgf|Hif1a|Hmox1|Ier3|Itgav|Mmp2|Nfe2l2|Nr4a2|Plaur|Ptgs2|Ptpn1|Ptpn2|S100a8|Sfrp2|Sfrp1|Sod2|Tgfbr1|Tnfaip3|Plscr1|Nherf1|Nrg1,-6,S1_UP
