Category	CategoryID	GO	Description	PARENT_GO	LogP	Enrichment	Z-score	#TotalGeneInLibrary	#GeneInGO	#GeneInHitList	#GeneInGOAndHitList	%InGO	STDV %InGO	GeneID	Hits	Log(q-value)	GeneList
GO Biological Processes	19	GO:0072522	purine-containing compound biosynthetic process	19_GO:0008152 metabolic process	-3.9	4.2	5	16230	199	192	10	5.2	1.6	11950|17705|17719|54405|66416|67184|67942|68202|228033|102631912	Atp5pb|ATP6|ND4|Ndufa1|Ndufa7|Ndufa13|Atp5g2|Ndufa5|Atp5g3|Ndufb1	-2.9	FDCs_MRCs_UP
GO Biological Processes	19	GO:0001913	T cell mediated cytotoxicity	19_GO:0002376 immune system process	-3.9	15	7.2	16230	23	192	4	2.1	1	12010|14964|15040|21355	B2m|H2-D1|H2-T23|Tap2	-2.9	FDCs_MRCs_UP
KEGG Pathway	24	mmu05170	Human immunodeficiency virus 1 infection - Mus musculus (house mouse)		-3.8	4.2	5	16230	201	192	10	5.2	1.6	12010|12632|14700|14964|15039|15040|21355|67923|69550|110157	B2m|Cfl2|Gng10|H2-D1|H2-T22|H2-T23|Tap2|Eloc|Bst2|Raf1	-2.9	FDCs_MRCs_UP
GO Biological Processes	19	GO:0006958	complement activation, classical pathway	19_GO:0002376 immune system process	-3.8	14	7	16230	24	192	4	2.1	1	12258|12263|50908|50909	Serping1|C2|C1s1|C1ra	-2.8	FDCs_MRCs_UP
KEGG Pathway	24	mmu04612	Antigen processing and presentation - Mus musculus (house mouse)		-3.8	7.2	5.7	16230	70	192	6	3.1	1.3	12010|13039|14964|15039|15040|21355	B2m|Ctsl|H2-D1|H2-T22|H2-T23|Tap2	-2.8	FDCs_MRCs_UP
GO Cellular Components	20	GO:0030670	phagocytic vesicle membrane		-3.7	14	6.9	16230	25	192	4	2.1	1	12010|14964|15040|106572	B2m|H2-D1|H2-T23|Rab31	-2.8	FDCs_MRCs_UP
GO Biological Processes	19	GO:0010837	regulation of keratinocyte proliferation	19_GO:0050789 regulation of biological process	-3.7	9.2	6.1	16230	46	192	5	2.6	1.1	13039|15117|17242|67694|73916	Ctsl|Has2|Mdk|Ift74|Ift57	-2.8	FDCs_MRCs_UP
KEGG Pathway	24	mmu05133	Pertussis - Mus musculus (house mouse)		-3.7	7	5.6	16230	72	192	6	3.1	1.3	12258|12263|12268|12632|50908|50909	Serping1|C2|C4b|Cfl2|C1s1|C1ra	-2.8	FDCs_MRCs_UP
KEGG Pathway	24	mmu04723	Retrograde endocannabinoid signaling - Mus musculus (house mouse)		-3.7	5	5.1	16230	136	192	8	4.2	1.4	14700|17719|19225|54405|66416|67184|68202|116837	Gng10|ND4|Ptgs2|Ndufa1|Ndufa7|Ndufa13|Ndufa5|Rims1	-2.7	FDCs_MRCs_UP
Reactome Gene Sets	6	R-MMU-8957275	Post-translational protein phosphorylation		-3.7	5.7	5.3	16230	103	192	7	3.6	1.4	12268|15529|17304|22041|29817|71853|268977	C4b|Sdc2|Mfge8|Trf|Igfbp7|Pdia6|Ltbp1	-2.7	FDCs_MRCs_UP
GO Biological Processes	19	GO:0001914	regulation of T cell mediated cytotoxicity	19_GO:0002376 immune system process	-3.6	9	6	16230	47	192	5	2.6	1.1	12010|14964|15039|15040|21355	B2m|H2-D1|H2-T22|H2-T23|Tap2	-2.7	FDCs_MRCs_UP
Reactome Gene Sets	6	R-MMU-1474244	Extracellular matrix organization		-3.6	4	4.8	16230	213	192	10	5.2	1.6	12156|13039|15529|16403|18073|18542|56213|83964|109700|268977	Bmp2|Ctsl|Sdc2|Itga6|Nid1|Pcolce|Htra1|Jam3|Itga1|Ltbp1	-2.7	FDCs_MRCs_UP
GO Biological Processes	19	GO:0002484	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway	19_GO:0002376 immune system process	-3.6	13	6.7	16230	26	192	4	2.1	1	14964|15039|15040|21355	H2-D1|H2-T22|H2-T23|Tap2	-2.7	FDCs_MRCs_UP
GO Biological Processes	19	GO:0002476	antigen processing and presentation of endogenous peptide antigen via MHC class Ib	19_GO:0002376 immune system process	-3.6	13	6.7	16230	26	192	4	2.1	1	14964|15039|15040|21355	H2-D1|H2-T22|H2-T23|Tap2	-2.7	FDCs_MRCs_UP
GO Biological Processes	19	GO:0072521	purine-containing compound metabolic process	19_GO:0008152 metabolic process	-3.6	3	4.4	16230	393	192	14	7.3	1.9	11872|11950|17705|17719|18573|19384|20916|54405|66416|67184|67942|68202|228033|102631912	Art2b|Atp5pb|ATP6|ND4|Pde1a|Ran|Sucla2|Ndufa1|Ndufa7|Ndufa13|Atp5g2|Ndufa5|Atp5g3|Ndufb1	-2.7	FDCs_MRCs_UP
GO Biological Processes	19	GO:0034756	regulation of iron ion transport	19_GO:0051179 localization	-3.6	23	8	16230	11	192	3	1.6	0.9	12010|22041|66383	B2m|Trf|Iscu	-2.7	FDCs_MRCs_UP
GO Biological Processes	19	GO:0001912	positive regulation of leukocyte mediated cytotoxicity	19_GO:0002376 immune system process	-3.6	6.8	5.5	16230	75	192	6	3.1	1.3	12010|14825|14964|15039|15040|21355	B2m|Cxcl1|H2-D1|H2-T22|H2-T23|Tap2	-2.7	FDCs_MRCs_UP
Reactome Gene Sets	6	R-MMU-72766	Translation		-3.6	3.9	4.7	16230	217	192	10	5.2	1.6	19941|19982|27370|54127|57808|67186|67204|68028|68436|110954	Rpl26|Rpl36a|Rps26|Rps28|Rpl35a|Rplp2|Eif2s2|Rpl22l1|Rpl34|Rpl10	-2.7	FDCs_MRCs_UP
GO Cellular Components	20	GO:0042611	MHC protein complex		-3.6	13	6.6	16230	27	192	4	2.1	1	12010|14964|15039|15040	B2m|H2-D1|H2-T22|H2-T23	-2.7	FDCs_MRCs_UP
GO Molecular Functions	21	GO:0042605	peptide antigen binding		-3.6	13	6.6	16230	27	192	4	2.1	1	14964|15039|15040|21355	H2-D1|H2-T22|H2-T23|Tap2	-2.7	FDCs_MRCs_UP
Reactome Gene Sets	6	R-MMU-1236974	ER-Phagosome pathway		-3.6	13	6.6	16230	27	192	4	2.1	1	12010|15039|15040|21355	B2m|H2-T22|H2-T23|Tap2	-2.7	FDCs_MRCs_UP
GO Cellular Components	20	GO:0005740	mitochondrial envelope		-3.6	2.3	4.1	16230	762	192	21	11	2.3	11950|12034|12759|12856|12864|12867|14004|14609|17705|17711|17719|19122|54405|66169|66416|67184|67942|68099|68202|228033|102631912	Atp5pb|Phb2|Clu|Cox17|Cox6c|Cox7c|Chchd2|Gja1|ATP6|CYTB|ND4|Prnp|Ndufa1|Tomm7|Ndufa7|Ndufa13|Atp5g2|Cibar1|Ndufa5|Atp5g3|Ndufb1	-2.7	FDCs_MRCs_UP
GO Biological Processes	19	GO:0002449	lymphocyte mediated immunity	19_GO:0002376 immune system process	-3.5	4.2	4.7	16230	181	192	9	4.7	1.5	12010|12258|12263|12268|14964|15040|21355|50908|50909	B2m|Serping1|C2|C4b|H2-D1|H2-T23|Tap2|C1s1|C1ra	-2.6	FDCs_MRCs_UP
GO Biological Processes	19	GO:0031589	cell-substrate adhesion	19_GO:0009987 cellular process	-3.5	4.2	4.7	16230	181	192	9	4.7	1.5	12512|16403|16780|17123|18073|22329|26362|83964|109700	Cd63|Itga6|Lamb3|Madcam1|Nid1|Vcam1|Axl|Jam3|Itga1	-2.6	FDCs_MRCs_UP
GO Biological Processes	19	GO:0009165	nucleotide biosynthetic process	19_GO:0008152 metabolic process	-3.5	3.8	4.6	16230	223	192	10	5.2	1.6	11950|17705|17719|54405|66416|67184|67942|68202|228033|102631912	Atp5pb|ATP6|ND4|Ndufa1|Ndufa7|Ndufa13|Atp5g2|Ndufa5|Atp5g3|Ndufb1	-2.6	FDCs_MRCs_UP
GO Molecular Functions	21	GO:0003953	NAD+ nucleosidase activity		-3.5	21	7.6	16230	12	192	3	1.6	0.9	11872|12182|17082	Art2b|Bst1|Il1rl1	-2.6	FDCs_MRCs_UP
GO Cellular Components	20	GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)		-3.5	21	7.6	16230	12	192	3	1.6	0.9	11950|67942|228033	Atp5pb|Atp5g2|Atp5g3	-2.6	FDCs_MRCs_UP
GO Biological Processes	19	GO:0042246	tissue regeneration	19_GO:0040007 growth	-3.5	8.3	5.7	16230	51	192	5	2.6	1.1	12527|14609|16795|17242|19221	Cd9|Gja1|Large1|Mdk|Ptgfrn	-2.6	FDCs_MRCs_UP
GO Cellular Components	20	GO:0019866	organelle inner membrane		-3.5	2.6	4.2	16230	557	192	17	8.9	2.1	11950|12034|12759|12864|12867|17705|17711|17719|19225|54405|66416|67184|67942|68099|68202|228033|102631912	Atp5pb|Phb2|Clu|Cox6c|Cox7c|ATP6|CYTB|ND4|Ptgs2|Ndufa1|Ndufa7|Ndufa13|Atp5g2|Cibar1|Ndufa5|Atp5g3|Ndufb1	-2.6	FDCs_MRCs_UP
KEGG Pathway	24	mmu04610	Complement and coagulation cascades - Mus musculus (house mouse)		-3.5	6.4	5.3	16230	79	192	6	3.1	1.3	12258|12263|12268|12759|50908|50909	Serping1|C2|C4b|Clu|C1s1|C1ra	-2.6	FDCs_MRCs_UP
GO Molecular Functions	21	GO:0005178	integrin binding		-3.5	4.6	4.8	16230	146	192	8	4.2	1.4	12527|15289|16403|17123|17304|22329|83964|109700	Cd9|Hmgb1|Itga6|Madcam1|Mfge8|Vcam1|Jam3|Itga1	-2.6	FDCs_MRCs_UP
GO Biological Processes	19	GO:0007507	heart development	19_GO:0032502 developmental process	-3.4	2.6	4.1	16230	559	192	17	8.9	2.1	12156|13388|14225|14609|15117|15903|16795|16911|17999|22329|24052|55978|56334|67694|71436|73916|268977	Bmp2|Dll1|Fkbp1a|Gja1|Has2|Id3|Large1|Lmo4|Nedd4|Vcam1|Sgcd|Ift20|Tmed2|Ift74|Flrt3|Ift57|Ltbp1	-2.6	FDCs_MRCs_UP
GO Biological Processes	19	GO:1901293	nucleoside phosphate biosynthetic process	19_GO:0008152 metabolic process	-3.4	3.7	4.5	16230	228	192	10	5.2	1.6	11950|17705|17719|54405|66416|67184|67942|68202|228033|102631912	Atp5pb|ATP6|ND4|Ndufa1|Ndufa7|Ndufa13|Atp5g2|Ndufa5|Atp5g3|Ndufb1	-2.5	FDCs_MRCs_UP
GO Biological Processes	19	GO:0009117	nucleotide metabolic process	19_GO:0008152 metabolic process	-3.4	2.9	4.2	16230	412	192	14	7.3	1.9	11872|11950|17705|17719|18573|19384|20916|54405|66416|67184|67942|68202|228033|102631912	Art2b|Atp5pb|ATP6|ND4|Pde1a|Ran|Sucla2|Ndufa1|Ndufa7|Ndufa13|Atp5g2|Ndufa5|Atp5g3|Ndufb1	-2.5	FDCs_MRCs_UP
GO Biological Processes	19	GO:0002685	regulation of leukocyte migration	19_GO:0040011 locomotion	-3.4	3.7	4.5	16230	229	192	10	5.2	1.6	12182|12527|14537|15289|15945|17123|17242|54371|71660|83964	Bst1|Cd9|Gcnt1|Hmgb1|Cxcl10|Madcam1|Mdk|Chst2|Rarres2|Jam3	-2.5	FDCs_MRCs_UP
GO Biological Processes	19	GO:0002455	humoral immune response mediated by circulating immunoglobulin	19_GO:0002376 immune system process	-3.4	11	6.2	16230	30	192	4	2.1	1	12258|12263|50908|50909	Serping1|C2|C1s1|C1ra	-2.5	FDCs_MRCs_UP
GO Molecular Functions	21	GO:0046978	TAP1 binding		-3.4	20	7.3	16230	13	192	3	1.6	0.9	14964|15039|21355	H2-D1|H2-T22|Tap2	-2.5	FDCs_MRCs_UP
GO Molecular Functions	21	GO:0046979	TAP2 binding		-3.4	20	7.3	16230	13	192	3	1.6	0.9	14964|15039|21355	H2-D1|H2-T22|Tap2	-2.5	FDCs_MRCs_UP
GO Cellular Components	20	GO:0045263	proton-transporting ATP synthase complex, coupling factor F(o)		-3.4	20	7.3	16230	13	192	3	1.6	0.9	11950|67942|228033	Atp5pb|Atp5g2|Atp5g3	-2.5	FDCs_MRCs_UP
GO Molecular Functions	21	GO:0015078	proton transmembrane transporter activity		-3.4	5.1	4.9	16230	115	192	7	3.6	1.4	11950|12867|17705|17711|67942|228033|239606	Atp5pb|Cox7c|ATP6|CYTB|Atp5g2|Atp5g3|Slc2a13	-2.5	FDCs_MRCs_UP
Reactome Gene Sets	6	R-MMU-6799198	Complex I biogenesis		-3.4	7.8	5.5	16230	54	192	5	2.6	1.1	17719|54405|66416|67184|68202	ND4|Ndufa1|Ndufa7|Ndufa13|Ndufa5	-2.5	FDCs_MRCs_UP
GO Cellular Components	20	GO:0031012	extracellular matrix		-3.3	2.7	4.1	16230	467	192	15	7.8	1.9	12258|12306|13039|16012|16403|16780|17304|18073|22038|22041|29817|56213|71660|214425|268977	Serping1|Anxa2|Ctsl|Igfbp6|Itga6|Lamb3|Mfge8|Nid1|Plscr1|Trf|Igfbp7|Htra1|Rarres2|Cilp|Ltbp1	-2.5	FDCs_MRCs_UP
GO Cellular Components	20	GO:0044391	ribosomal subunit		-3.3	4	4.5	16230	191	192	9	4.7	1.5	19941|19982|27176|27370|54127|57808|67186|68436|110954	Rpl26|Rpl36a|Rpl7a|Rps26|Rps28|Rpl35a|Rplp2|Rpl34|Rpl10	-2.5	FDCs_MRCs_UP
GO Cellular Components	20	GO:0030312	external encapsulating structure		-3.3	2.7	4.1	16230	468	192	15	7.8	1.9	12258|12306|13039|16012|16403|16780|17304|18073|22038|22041|29817|56213|71660|214425|268977	Serping1|Anxa2|Ctsl|Igfbp6|Itga6|Lamb3|Mfge8|Nid1|Plscr1|Trf|Igfbp7|Htra1|Rarres2|Cilp|Ltbp1	-2.5	FDCs_MRCs_UP
GO Biological Processes	19	GO:0002250	adaptive immune response	19_GO:0002376 immune system process	-3.3	3.1	4.3	16230	323	192	12	6.2	1.7	12010|12258|12263|12268|14964|15040|15289|17999|21355|50908|50909|83964	B2m|Serping1|C2|C4b|H2-D1|H2-T23|Hmgb1|Nedd4|Tap2|C1s1|C1ra|Jam3	-2.5	FDCs_MRCs_UP
GO Cellular Components	20	GO:0015934	large ribosomal subunit		-3.3	5.1	4.8	16230	117	192	7	3.6	1.4	19941|19982|27176|57808|67186|68436|110954	Rpl26|Rpl36a|Rpl7a|Rpl35a|Rplp2|Rpl34|Rpl10	-2.5	FDCs_MRCs_UP
GO Cellular Components	20	GO:0005743	mitochondrial inner membrane		-3.3	2.6	4	16230	522	192	16	8.3	2	11950|12034|12759|12864|12867|17705|17711|17719|54405|66416|67184|67942|68099|68202|228033|102631912	Atp5pb|Phb2|Clu|Cox6c|Cox7c|ATP6|CYTB|ND4|Ndufa1|Ndufa7|Ndufa13|Atp5g2|Cibar1|Ndufa5|Atp5g3|Ndufb1	-2.5	FDCs_MRCs_UP
GO Biological Processes	19	GO:0006753	nucleoside phosphate metabolic process	19_GO:0008152 metabolic process	-3.3	2.8	4.1	16230	422	192	14	7.3	1.9	11872|11950|17705|17719|18573|19384|20916|54405|66416|67184|67942|68202|228033|102631912	Art2b|Atp5pb|ATP6|ND4|Pde1a|Ran|Sucla2|Ndufa1|Ndufa7|Ndufa13|Atp5g2|Ndufa5|Atp5g3|Ndufb1	-2.5	FDCs_MRCs_UP
GO Biological Processes	19	GO:0031343	positive regulation of cell killing	19_GO:0048518 positive regulation of biological process	-3.3	6	5	16230	85	192	6	3.1	1.3	12010|14825|14964|15039|15040|21355	B2m|Cxcl1|H2-D1|H2-T22|H2-T23|Tap2	-2.5	FDCs_MRCs_UP
GO Molecular Functions	21	GO:0042288	MHC class I protein binding		-3.3	11	5.9	16230	32	192	4	2.1	1	14964|15039|15040|21355	H2-D1|H2-T22|H2-T23|Tap2	-2.5	FDCs_MRCs_UP
Reactome Gene Sets	6	R-MMU-76002	Platelet activation, signaling and aggregation		-3.3	3.6	4.4	16230	237	192	10	5.2	1.6	12258|12512|12527|12759|14700|20363|22041|26968|71660|110157	Serping1|Cd63|Cd9|Clu|Gng10|Selenop|Trf|Islr|Rarres2|Raf1	-2.5	FDCs_MRCs_UP
GO Cellular Components	20	GO:1990204	oxidoreductase complex		-3.3	5	4.8	16230	119	192	7	3.6	1.4	17711|17719|54405|66416|67184|68202|102631912	CYTB|ND4|Ndufa1|Ndufa7|Ndufa13|Ndufa5|Ndufb1	-2.4	FDCs_MRCs_UP
GO Molecular Functions	21	GO:0046977	TAP binding		-3.3	18	7	16230	14	192	3	1.6	0.9	14964|15039|21355	H2-D1|H2-T22|Tap2	-2.4	FDCs_MRCs_UP
GO Biological Processes	19	GO:0030100	regulation of endocytosis	19_GO:0051179 localization	-3.3	3.1	4.2	16230	329	192	12	6.2	1.7	12010|12263|12268|12306|12512|12759|13388|15289|17999|22041|26362|106572	B2m|C2|C4b|Anxa2|Cd63|Clu|Dll1|Hmgb1|Nedd4|Trf|Axl|Rab31	-2.4	FDCs_MRCs_UP
GO Cellular Components	20	GO:0045121	membrane raft		-3.2	2.9	4.1	16230	379	192	13	6.8	1.8	11797|12306|13388|14609|14964|15117|15289|17999|19122|19225|22038|109700|240725	Birc2|Anxa2|Dll1|Gja1|H2-D1|Has2|Hmgb1|Nedd4|Prnp|Ptgs2|Plscr1|Itga1|Sulf1	-2.4	FDCs_MRCs_UP
GO Cellular Components	20	GO:0042788	polysomal ribosome		-3.2	10	5.8	16230	33	192	4	2.1	1	19982|27176|27370|54127	Rpl36a|Rpl7a|Rps26|Rps28	-2.4	FDCs_MRCs_UP
GO Biological Processes	19	GO:0043403	skeletal muscle tissue regeneration	19_GO:0040007 growth	-3.2	10	5.8	16230	33	192	4	2.1	1	12527|14609|16795|19221	Cd9|Gja1|Large1|Ptgfrn	-2.4	FDCs_MRCs_UP
GO Cellular Components	20	GO:0098857	membrane microdomain		-3.2	2.9	4.1	16230	380	192	13	6.8	1.8	11797|12306|13388|14609|14964|15117|15289|17999|19122|19225|22038|109700|240725	Birc2|Anxa2|Dll1|Gja1|H2-D1|Has2|Hmgb1|Nedd4|Prnp|Ptgs2|Plscr1|Itga1|Sulf1	-2.4	FDCs_MRCs_UP
Reactome Gene Sets	6	R-MMU-983170	Antigen Presentation: Folding, assembly and peptide loading of class I MHC		-3.2	9.9	5.7	16230	34	192	4	2.1	1	12010|15039|15040|21355	B2m|H2-T22|H2-T23|Tap2	-2.4	FDCs_MRCs_UP
GO Cellular Components	20	GO:0042824	MHC class I peptide loading complex		-3.2	17	6.7	16230	15	192	3	1.6	0.9	12010|14964|21355	B2m|H2-D1|Tap2	-2.4	FDCs_MRCs_UP
GO Cellular Components	20	GO:0032398	MHC class Ib protein complex		-3.2	17	6.7	16230	15	192	3	1.6	0.9	14964|15039|15040	H2-D1|H2-T22|H2-T23	-2.4	FDCs_MRCs_UP
GO Biological Processes	19	GO:0010257	NADH dehydrogenase complex assembly	19_GO:0009987 cellular process	-3.1	7	5.1	16230	60	192	5	2.6	1.1	17719|54405|67184|68202|102631912	ND4|Ndufa1|Ndufa13|Ndufa5|Ndufb1	-2.4	FDCs_MRCs_UP
GO Biological Processes	19	GO:0032981	mitochondrial respiratory chain complex I assembly	19_GO:0009987 cellular process	-3.1	7	5.1	16230	60	192	5	2.6	1.1	17719|54405|67184|68202|102631912	ND4|Ndufa1|Ndufa13|Ndufa5|Ndufb1	-2.4	FDCs_MRCs_UP
GO Biological Processes	19	GO:0035239	tube morphogenesis	19_GO:0032502 developmental process	-3.1	2.3	3.8	16230	707	192	19	9.9	2.2	11783|12034|12156|12306|13388|13819|14609|15117|16911|17304|17999|19225|19227|24052|28106|56334|73916|83964|98711	Apaf1|Phb2|Bmp2|Anxa2|Dll1|Epas1|Gja1|Has2|Lmo4|Mfge8|Nedd4|Ptgs2|Pthlh|Sgcd|Mydgf|Tmed2|Ift57|Jam3|Rdh10	-2.3	FDCs_MRCs_UP
GO Cellular Components	20	GO:0031966	mitochondrial membrane		-3.1	2.3	3.8	16230	709	192	19	9.9	2.2	11950|12034|12759|12864|12867|14609|17705|17711|17719|19122|54405|66169|66416|67184|67942|68099|68202|228033|102631912	Atp5pb|Phb2|Clu|Cox6c|Cox7c|Gja1|ATP6|CYTB|ND4|Prnp|Ndufa1|Tomm7|Ndufa7|Ndufa13|Atp5g2|Cibar1|Ndufa5|Atp5g3|Ndufb1	-2.3	FDCs_MRCs_UP
GO Biological Processes	19	GO:0019646	aerobic electron transport chain	19_GO:0008152 metabolic process	-3.1	6.9	5.1	16230	61	192	5	2.6	1.1	12864|12867|17711|17719|66416	Cox6c|Cox7c|CYTB|ND4|Ndufa7	-2.3	FDCs_MRCs_UP
GO Biological Processes	19	GO:0007160	cell-matrix adhesion	19_GO:0009987 cellular process	-3.1	4.7	4.5	16230	127	192	7	3.6	1.4	12512|16403|17123|18073|22329|83964|109700	Cd63|Itga6|Madcam1|Nid1|Vcam1|Jam3|Itga1	-2.3	FDCs_MRCs_UP
GO Cellular Components	20	GO:0140534	endoplasmic reticulum protein-containing complex		-3.1	4.6	4.5	16230	128	192	7	3.6	1.4	12010|14964|21355|67695|69019|71853|73024	B2m|H2-D1|Tap2|Ost4|Spcs1|Pdia6|Emc7	-2.3	FDCs_MRCs_UP
GO Biological Processes	19	GO:0048260	positive regulation of receptor-mediated endocytosis	19_GO:0051179 localization	-3.1	6.8	5	16230	62	192	5	2.6	1.1	12010|12306|12512|12759|22041	B2m|Anxa2|Cd63|Clu|Trf	-2.3	FDCs_MRCs_UP
GO Biological Processes	19	GO:0050678	regulation of epithelial cell proliferation	19_GO:0050789 regulation of biological process	-3.1	2.8	3.9	16230	394	192	13	6.8	1.8	12010|12034|12156|13039|14609|15117|15289|17242|28106|56213|67694|73916|240725	B2m|Phb2|Bmp2|Ctsl|Gja1|Has2|Hmgb1|Mdk|Mydgf|Htra1|Ift74|Ift57|Sulf1	-2.3	FDCs_MRCs_UP
GO Biological Processes	19	GO:0043065	positive regulation of apoptotic process	19_GO:0048518 positive regulation of biological process	-3.1	2.4	3.8	16230	605	192	17	8.9	2.1	11783|12156|12759|13039|15289|15903|16403|19122|19225|19941|21664|22038|24108|56213|64294|80707|109700	Apaf1|Bmp2|Clu|Ctsl|Hmgb1|Id3|Itga6|Prnp|Ptgs2|Rpl26|Phlda1|Plscr1|Ubd|Htra1|Itm2c|Wwox|Itga1	-2.3	FDCs_MRCs_UP
GO Cellular Components	20	GO:0005902	microvillus		-3.1	5.4	4.7	16230	94	192	6	3.1	1.3	13039|17999|22329|55978|80707|83964	Ctsl|Nedd4|Vcam1|Ift20|Wwox|Jam3	-2.3	FDCs_MRCs_UP
CORUM	33	CORUM:381	Respiratory chain complex I, mitochondrial		-3	9.1	5.4	16230	37	192	4	2.1	1	17719|66416|67184|68202	ND4|Ndufa7|Ndufa13|Ndufa5	-2.3	FDCs_MRCs_UP
GO Biological Processes	19	GO:0022904	respiratory electron transport chain	19_GO:0008152 metabolic process	-3	5.3	4.6	16230	96	192	6	3.1	1.3	12864|12867|17711|17719|66416|68202	Cox6c|Cox7c|CYTB|ND4|Ndufa7|Ndufa5	-2.3	FDCs_MRCs_UP
Reactome Gene Sets	6	R-MMU-163210	Formation of ATP by chemiosmotic coupling		-3	15	6.3	16230	17	192	3	1.6	0.9	11950|17705|228033	Atp5pb|ATP6|Atp5g3	-2.3	FDCs_MRCs_UP
GO Molecular Functions	21	GO:0005520	insulin-like growth factor binding		-3	15	6.3	16230	17	192	3	1.6	0.9	16012|16403|29817	Igfbp6|Itga6|Igfbp7	-2.3	FDCs_MRCs_UP
GO Molecular Functions	21	GO:0030881	beta-2-microglobulin binding		-3	15	6.3	16230	17	192	3	1.6	0.9	14964|15039|15040	H2-D1|H2-T22|H2-T23	-2.3	FDCs_MRCs_UP
Reactome Gene Sets	6	R-MMU-8949613	Cristae formation		-3	15	6.3	16230	17	192	3	1.6	0.9	11950|17705|228033	Atp5pb|ATP6|Atp5g3	-2.3	FDCs_MRCs_UP
GO Biological Processes	19	GO:0032689	negative regulation of type II interferon production	19_GO:0048519 negative regulation of biological process	-3	8.9	5.3	16230	38	192	4	2.1	1	15289|17082|19122|26362	Hmgb1|Il1rl1|Prnp|Axl	-2.2	FDCs_MRCs_UP
GO Biological Processes	19	GO:0002709	regulation of T cell mediated immunity	19_GO:0002376 immune system process	-3	5.2	4.6	16230	97	192	6	3.1	1.3	12010|14964|15039|15040|15289|21355	B2m|H2-D1|H2-T22|H2-T23|Hmgb1|Tap2	-2.2	FDCs_MRCs_UP
GO Biological Processes	19	GO:0033108	mitochondrial respiratory chain complex assembly	19_GO:0009987 cellular process	-3	5.2	4.6	16230	97	192	6	3.1	1.3	12856|17719|54405|67184|68202|102631912	Cox17|ND4|Ndufa1|Ndufa13|Ndufa5|Ndufb1	-2.2	FDCs_MRCs_UP
GO Biological Processes	19	GO:0019882	antigen processing and presentation	19_GO:0002376 immune system process	-3	5.2	4.6	16230	97	192	6	3.1	1.3	12010|13039|14964|15039|15040|21355	B2m|Ctsl|H2-D1|H2-T22|H2-T23|Tap2	-2.2	FDCs_MRCs_UP
GO Biological Processes	19	GO:0030099	myeloid cell differentiation	19_GO:0032502 developmental process	-3	3	4	16230	305	192	11	5.7	1.7	12156|13388|13819|15289|16795|17082|21943|22038|22041|24108|29809	Bmp2|Dll1|Epas1|Hmgb1|Large1|Il1rl1|Tnfsf11|Plscr1|Trf|Ubd|Rabgap1l	-2.2	FDCs_MRCs_UP
Reactome Gene Sets	6	R-MMU-1236977	Endosomal/Vacuolar pathway		-2.9	14	6.1	16230	18	192	3	1.6	0.9	12010|15039|15040	B2m|H2-T22|H2-T23	-2.2	FDCs_MRCs_UP
Reactome Gene Sets	6	R-MMU-166663	Initial triggering of complement		-2.9	14	6.1	16230	18	192	3	1.6	0.9	12263|12268|50909	C2|C4b|C1ra	-2.2	FDCs_MRCs_UP
GO Biological Processes	19	GO:0043068	positive regulation of programmed cell death	19_GO:0048518 positive regulation of biological process	-2.9	2.3	3.6	16230	624	192	17	8.9	2.1	11783|12156|12759|13039|15289|15903|16403|19122|19225|19941|21664|22038|24108|56213|64294|80707|109700	Apaf1|Bmp2|Clu|Ctsl|Hmgb1|Id3|Itga6|Prnp|Ptgs2|Rpl26|Phlda1|Plscr1|Ubd|Htra1|Itm2c|Wwox|Itga1	-2.2	FDCs_MRCs_UP
GO Biological Processes	19	GO:0006412	translation	19_GO:0008152 metabolic process	-2.9	2.8	3.8	16230	360	192	12	6.2	1.7	19941|19982|27176|27370|54127|57808|66416|67186|67204|68028|68436|110954	Rpl26|Rpl36a|Rpl7a|Rps26|Rps28|Rpl35a|Ndufa7|Rplp2|Eif2s2|Rpl22l1|Rpl34|Rpl10	-2.2	FDCs_MRCs_UP
GO Biological Processes	19	GO:0045123	cellular extravasation	19_GO:0002376 immune system process	-2.9	8.5	5.2	16230	40	192	4	2.1	1	14537|17123|22329|109700	Gcnt1|Madcam1|Vcam1|Itga1	-2.2	FDCs_MRCs_UP
GO Biological Processes	19	GO:0043583	ear development	19_GO:0032502 developmental process	-2.9	3.5	4	16230	220	192	9	4.7	1.5	12156|12609|13388|15040|26564|29817|55978|98711|110796	Bmp2|Cebpd|Dll1|H2-T23|Ror2|Igfbp7|Ift20|Rdh10|Tshz1	-2.2	FDCs_MRCs_UP
GO Biological Processes	19	GO:0048708	astrocyte differentiation	19_GO:0032502 developmental process	-2.9	6.2	4.7	16230	68	192	5	2.6	1.1	12156|13388|16795|22352|26564	Bmp2|Dll1|Large1|Vim|Ror2	-2.2	FDCs_MRCs_UP
GO Molecular Functions	21	GO:0033218	amide binding		-2.9	2.8	3.8	16230	361	192	12	6.2	1.7	12034|12759|13039|14225|14964|15039|15040|15289|19122|21355|64294|80982	Phb2|Clu|Ctsl|Fkbp1a|H2-D1|H2-T22|H2-T23|Hmgb1|Prnp|Tap2|Itm2c|Cemip	-2.2	FDCs_MRCs_UP
